"";"Q.h1";"Q.h2";"Q.h3";"Q.h4";"Q.h5";"Q.h6"
"M_1";1;1;0;0;0;0
"M_2";0;0;0;0;0;0
"M_3";0;0;1;0;0;0
"M_4";0;0;0;1;0;0
"M_5";0;0;0;0;0;0
"M_6";0;0;0;0;0;0
"M_7";0;0;1;0;0;0
"M_8";1;1;0;0;1;1
"M_9";0;0;0;0;0;0
"M_10";1;0;1;1;0;0
"M_11";0;0;0;0;0;0
"M_12";0;0;1;0;0;0
"M_13";0;1;1;1;0;0
"M_14";0;0;0;0;0;0
"M_15";0;0;0;0;0;0
"M_16";0;0;0;1;0;0
"M_17";0;0;1;0;0;0
"M_18";0;0;1;0;0;0
"M_19";0;1;0;0;0;0
"M_20";0;0;1;0;0;0
"M_21";0;0;0;1;0;0
"M_22";1;0;0;0;1;1
"M_23";0;0;0;0;0;0
"M_24";0;0;0;0;0;0
"M_25";0;0;1;0;0;0
"M_26";0;0;0;0;0;0
"M_27";1;1;0;0;0;0
"M_28";0;0;0;1;0;0
"M_29";0;0;0;1;0;0
"M_30";0;1;1;0;0;0
"M_31";0;1;1;0;0;0
"M_32";0;0;0;1;0;0
"M_33";0;0;0;0;0;0
"M_34";1;0;0;0;0;0
"M_35";0;0;0;0;0;0
"M_36";0;0;1;0;0;0
"M_37";0;0;0;1;0;0
"M_38";0;1;0;0;0;0
"M_39";0;0;0;0;0;0
"M_40";1;0;0;0;0;0
"M_41";0;0;0;0;0;0
"M_42";0;0;0;0;0;0
"M_43";0;0;0;0;0;0
"M_44";0;0;1;0;0;0
"M_45";0;0;1;0;0;0
"M_46";0;1;0;0;0;0
"M_47";1;0;0;0;0;0
"M_48";0;1;0;0;0;0
"M_49";0;0;0;1;0;0
"M_50";0;0;1;0;0;0
"M_51";0;0;0;1;0;0
"M_52";0;0;0;0;0;0
"M_53";0;0;1;0;0;0
"M_54";1;0;0;0;0;0
"M_55";0;0;0;0;0;0
"M_56";0;1;0;1;0;1
"M_57";0;1;0;0;0;0
"M_58";0;0;0;0;0;0
"M_59";1;0;0;0;0;0
"M_60";1;0;0;0;0;0
"M_61";0;0;0;0;0;0
"M_62";0;0;1;0;1;0
"M_63";1;0;0;0;0;0
"M_64";0;0;0;0;0;0
"M_65";0;0;0;0;0;0
"M_66";1;0;0;0;0;0
"M_67";0;1;0;0;0;0
"M_68";0;0;0;0;0;0
"M_69";0;0;1;0;1;0
"M_70";0;0;0;0;0;0
"M_71";1;0;0;0;0;0
"M_72";0;0;0;0;0;0
"M_73";0;0;0;0;1;1
"M_74";0;0;1;0;0;0
"M_75";1;0;0;1;0;1
"M_76";0;0;0;1;0;1
"M_77";0;0;0;1;0;0
"M_78";0;0;0;1;0;0
"M_79";0;0;0;0;0;0
"M_80";1;0;0;0;0;0
"M_81";1;0;0;1;0;0
"M_82";0;0;0;0;0;0
"M_83";0;0;0;0;0;0
"M_84";0;0;0;0;0;0
"M_85";0;0;1;0;1;0
"M_86";1;0;0;0;0;1
"M_87";0;0;0;1;0;0
"M_88";0;0;1;0;1;0
"M_89";0;0;1;0;1;0
"M_90";1;1;0;1;0;0
"M_91";0;0;1;0;1;1
"M_92";1;0;0;0;0;1
"M_93";0;0;0;0;0;0
"M_94";0;1;0;0;0;0
"M_95";0;0;0;0;0;1
"M_96";0;0;0;0;0;0
"M_97";0;0;1;0;1;0
"M_98";0;0;0;1;0;0
"M_99";1;0;1;0;1;0
"M_100";0;0;0;0;0;0
"M_101";0;0;0;0;0;1
"M_102";0;0;0;0;0;0
"M_103";1;1;1;0;1;0
"M_104";0;0;0;1;0;0
"M_105";0;0;0;0;0;0
"M_106";1;1;0;0;0;0
"M_107";0;1;1;0;1;0
"M_108";0;0;0;0;0;0
"M_109";0;0;1;0;1;0
"M_110";0;0;0;0;0;0
"M_111";0;0;0;1;0;0
"M_112";0;1;0;0;0;0
"M_113";0;0;0;0;0;0
"M_114";0;0;1;1;1;0
"M_115";0;0;0;0;0;0
"M_116";0;0;0;1;0;0
"M_117";0;1;0;0;0;0
"M_118";0;0;0;1;0;0
"M_119";0;0;0;0;0;0
"M_120";0;0;0;1;0;0
"M_121";0;0;0;0;0;0
"M_122";0;0;1;0;1;0
"M_123";0;0;0;1;0;0
"M_124";1;0;1;0;1;0
"M_125";1;0;0;1;0;0
"M_126";0;1;0;0;0;1
"M_127";0;0;0;0;0;1
"M_128";0;0;0;0;0;1
"M_129";1;0;0;0;0;0
"M_130";0;0;0;1;0;0
"M_131";1;0;0;1;0;0
"M_132";0;0;0;1;0;0
"M_133";0;0;1;0;1;0
"M_134";0;1;0;0;0;1
"M_135";0;0;1;0;1;0
"M_136";0;0;1;0;1;0
"M_137";0;0;0;1;0;0
"M_138";0;0;0;0;0;0
"M_139";0;0;0;0;0;0
"M_140";0;1;0;0;0;0
"M_141";0;0;0;0;0;0
"M_142";0;0;0;0;0;0
"M_143";0;1;0;0;0;0
"M_144";0;0;0;0;0;0
"M_145";0;0;0;0;0;0
"M_146";1;0;1;0;1;0
"M_147";0;0;0;0;0;1
"M_148";1;0;1;0;1;0
"M_149";0;0;0;1;0;0
"M_150";1;0;0;0;0;0
"M_151";0;0;0;0;0;0
"M_152";0;0;1;0;0;0
"M_153";0;0;0;0;0;0
"M_154";1;0;0;0;0;0
"M_155";0;0;1;0;0;0
"M_156";0;1;1;0;0;0
"M_157";0;0;0;0;0;1
"M_158";0;0;0;0;0;0
"M_159";0;0;0;0;1;1
"M_160";1;0;0;0;0;0
"M_161";1;0;0;0;0;0
"M_162";0;0;0;0;1;0
"M_163";0;0;0;1;0;0
"M_164";0;1;1;0;0;0
"M_165";0;0;0;0;0;0
"M_166";0;0;0;0;0;0
"M_167";0;0;0;0;0;0
"M_168";0;0;0;0;0;0
"M_169";0;0;0;0;0;0
"M_170";1;0;1;0;0;0
"M_171";1;0;0;0;0;0
"M_172";0;0;0;1;0;0
"M_173";0;0;0;0;0;0
"M_174";0;0;0;0;0;0
"M_175";1;0;0;0;0;0
"M_176";0;0;0;0;0;1
"M_177";1;0;0;1;0;0
"M_178";0;0;1;0;0;0
"M_179";0;0;0;0;0;1
"M_180";0;0;0;0;0;0
"M_181";1;0;0;0;0;0
"M_182";0;0;1;0;0;0
"M_183";0;1;1;0;0;0
"M_184";0;0;0;0;0;0
"M_185";0;0;0;0;0;0
"M_186";0;0;0;0;0;0
"M_187";0;1;1;0;0;0
"M_188";0;0;0;0;0;0
